,state,fips,cases,deaths,employed-sugar-intake-daily,Winning Party_x,Democrats_x,Republicans_x,Winning Party_y,Democrats_y,Republicans_y
10541,District of Columbia,11,49011,1135,18.5,Democrats,True,False,Democrats,True,False
10542,Indiana,18,747810,13637,35.9,Republicans,False,True,Republicans,False,True
10543,Iowa,19,371635,6061,34.2,Republicans,False,True,Republicans,False,True
10544,Kansas,20,316291,5115,32.4,Republicans,False,True,Republicans,False,True
10545,Kentucky,21,460741,7119,43.4,Republicans,False,True,Republicans,False,True
10546,Maryland,24,460272,9622,28.0,Democrats,True,False,Democrats,True,False
10547,Minnesota,27,601738,7520,23.5,Democrats,True,False,Democrats,True,False
10548,Mississippi,28,317856,7322,49.7,Republicans,False,True,Republicans,False,True
10549,Nebraska,31,223824,2500,31.1,Republicans,False,True,Republicans,False,True
10550,New Jersey,34,1016763,26239,22.7,Democrats,True,False,Democrats,True,False
10551,New York,36,2101514,52793,23.1,Democrats,True,False,Democrats,True,False
10552,North Carolina,37,1004203,13127,42.1,Republicans,False,True,Republicans,False,True
10553,Ohio,39,1102890,19923,32.0,Republicans,False,True,Republicans,False,True
10554,Oklahoma,40,453285,7316,46.5,Republicans,False,True,Republicans,False,True
10555,South Carolina,45,593526,9739,42.0,Republicans,False,True,Republicans,False,True
10556,Utah,49,406552,2305,30.3,Republicans,False,True,Republicans,False,True
10557,Vermont,50,24232,255,16.7,Democrats,True,False,Democrats,True,False
10558,West Virginia,54,161967,2800,46.1,Republicans,False,True,Republicans,False,True
10559,Wisconsin,55,674952,7894,29.7,Republicans,False,True,Republicans,False,True
10560,Alaska,2,69826,352,26.2,Republicans,False,True,Republicans,False,True
10561,Arizona,4,882691,17653,33.0,Republicans,False,True,Republicans,False,True
10562,California,6,3793194,63340,22.9,Democrats,True,False,Democrats,True,False
10563,Connecticut,9,347748,8245,18.9,Democrats,True,False,Democrats,True,False
10564,District of Columbia,11,49041,1136,18.5,Democrats,True,False,Democrats,True,False
10565,Indiana,18,749027,13657,35.9,Republicans,False,True,Republicans,False,True
10566,Iowa,19,371761,6065,34.2,Republicans,False,True,Republicans,False,True
10567,Kansas,20,316287,5115,32.4,Republicans,False,True,Republicans,False,True
10568,Kentucky,21,461055,7127,43.4,Republicans,False,True,Republicans,False,True
10569,Maryland,24,460406,9626,28.0,Democrats,True,False,Democrats,True,False
10570,Minnesota,27,601974,7530,23.5,Democrats,True,False,Democrats,True,False
10571,Mississippi,28,318048,7324,49.7,Republicans,False,True,Republicans,False,True
10572,Nebraska,31,223871,2504,31.1,Republicans,False,True,Republicans,False,True
10573,New Jersey,34,1017044,26253,22.7,Democrats,True,False,Democrats,True,False
10574,New York,36,2102003,52811,23.1,Democrats,True,False,Democrats,True,False
10575,North Carolina,37,1004699,13147,42.1,Republicans,False,True,Republicans,False,True
10576,Ohio,39,1103380,19923,32.0,Republicans,False,True,Republicans,False,True
10577,Oklahoma,40,453400,7316,46.5,Republicans,False,True,Republicans,False,True
10578,South Carolina,45,593628,9739,42.0,Republicans,False,True,Republicans,False,True
10579,Utah,49,406895,2308,30.3,Republicans,False,True,Republicans,False,True
10580,Vermont,50,24240,255,16.7,Democrats,True,False,Democrats,True,False
